id	category	trigger	resources	entry
taste--image-to-code-skill	01_设计品味与反AI味	Elite website image-to-code skill for Codex. For visually important web tasks, it must first generate		01_设计品味与反AI味/taste--image-to-code-skill/SKILL.md
taste--imagegen-frontend-mobile	01_设计品味与反AI味	Elite mobile app image-generation skill for creating premium, app-native screen concepts and flows		01_设计品味与反AI味/taste--imagegen-frontend-mobile/SKILL.md
taste--imagegen-frontend-web	01_设计品味与反AI味	Elite frontend image-direction skill for generating premium, conversion-aware website design		01_设计品味与反AI味/taste--imagegen-frontend-web/SKILL.md
taste--minimalist-skill	01_设计品味与反AI味	Clean editorial-style interfaces. Warm monochrome palette, typographic contrast, flat bento grids		01_设计品味与反AI味/taste--minimalist-skill/SKILL.md
taste--output-skill	01_设计品味与反AI味	Overrides default LLM truncation behavior. Enforces complete code generation, bans placeholder		01_设计品味与反AI味/taste--output-skill/SKILL.md
taste--redesign-skill	01_设计品味与反AI味	Upgrades existing websites and apps to premium quality. Audits current design, identifies generic AI		01_设计品味与反AI味/taste--redesign-skill/SKILL.md
taste--soft-skill	01_设计品味与反AI味	Teaches the AI to design like a high-end agency. Defines the exact fonts, spacing, shadows, card		01_设计品味与反AI味/taste--soft-skill/SKILL.md
taste--stitch-skill	01_设计品味与反AI味	Semantic Design System Skill for Google Stitch. Generates agent-friendly DESIGN.md files that enforce		01_设计品味与反AI味/taste--stitch-skill/SKILL.md
taste--taste-skill	01_设计品味与反AI味	Anti-slop frontend skill for landing pages, portfolios, and redesigns. The agent reads the brief		01_设计品味与反AI味/taste--taste-skill/SKILL.md
taste--taste-skill-v1	01_设计品味与反AI味	The original v1 taste-skill, preserved for projects depending on its exact behavior. The current		01_设计品味与反AI味/taste--taste-skill-v1/SKILL.md
tastemaker--tastemaker	01_设计品味与反AI味	Generate genuinely beautiful, on-brand UI instead of generic "AI slop" — use whenever the user asks to	scripts/references/assets	01_设计品味与反AI味/tastemaker--tastemaker/SKILL.md
emil--animate	02_震撼视觉特效	Build an animation from scratch, making the decisions in the order that determines whether it feels		02_震撼视觉特效/emil--animate/SKILL.md
emil--animate-expo	02_震撼视觉特效	Build animations in React Native and Expo, making the decisions in the order that determines whether		02_震撼视觉特效/emil--animate-expo/SKILL.md
mengto--3d-falling-leaves	02_震撼视觉特效	Build recognizable falling leaves in world space using instanced geometry, independent tumble, coupled	agents	02_震撼视觉特效/mengto--3d-falling-leaves/SKILL.md
mengto--3d-four-seasons	02_震撼视觉特效	Add coordinated spring, summer, fall, and winter states to a 3D scene, blending foliage, sunlight, sky	agents	02_震撼视觉特效/mengto--3d-four-seasons/SKILL.md
mengto--3d-high-poly-models	02_震撼视觉特效	Create or integrate highly detailed 3D models with smooth silhouettes, shaped surfaces, believable	agents	02_震撼视觉特效/mengto--3d-high-poly-models/SKILL.md
mengto--3d-high-resolution-textures	02_震撼视觉特效	Build sharp, physically coherent high-resolution materials for 3D rendering with appropriate PBR maps	agents	02_震撼视觉特效/mengto--3d-high-resolution-textures/SKILL.md
mengto--3d-retina-resolution	02_震撼视觉特效	Render a 3D canvas sharply on Retina and HiDPI displays, including explicit 200 percent resolution	agents	02_震撼视觉特效/mengto--3d-retina-resolution/SKILL.md
mengto--3d-sky-background	02_震撼视觉特效	Create a camera-correct sky background for a 3D scene with a procedural atmosphere or panorama, horizon	agents	02_震撼视觉特效/mengto--3d-sky-background/SKILL.md
mengto--3d-sky-rays	02_震撼视觉特效	Add sun shafts and crepuscular rays to a Three.js or equivalent 3D scene, using scene occlusion, a	agents	02_震撼视觉特效/mengto--3d-sky-rays/SKILL.md
mengto--3d-ultra-realistic-water	02_震撼视觉特效	Build an ultra-realistic open ocean in Three.js with a deep-water Gerstner spectrum shaded per pixel	references/assets/agents	02_震撼视觉特效/mengto--3d-ultra-realistic-water/SKILL.md
mengto--3d-virtual-tour	02_震撼视觉特效	Build guided and interactive virtual tours through a 3D environment with authored camera paths, room	agents	02_震撼视觉特效/mengto--3d-virtual-tour/SKILL.md
mengto--add-mouse-driven-orbit	02_震撼视觉特效	Add restrained mouse-driven orbit and parallax depth to a Three.js hero by damping one pointer target	agents	02_震撼视觉特效/mengto--add-mouse-driven-orbit/SKILL.md
mengto--add-shader-cursor-trail	02_震撼视觉特效	"Add the Shaders WebGPU mouse effect used for the Tidal Commons hero: a white twinkling halftone cursor	scripts/references/assets/agents	02_震撼视觉特效/mengto--add-shader-cursor-trail/SKILL.md
mengto--ambient-section-particles	02_震撼视觉特效	Add a restrained particle atmosphere inside one section with configurable shapes, density, gravity	agents	02_震撼视觉特效/mengto--ambient-section-particles/SKILL.md
mengto--animation-on-scroll	02_震撼视觉特效	Create an on-scroll animation trigger using IntersectionObserver with Tailwind-friendly animation		02_震撼视觉特效/mengto--animation-on-scroll/SKILL.md
mengto--animation-systems	02_震撼视觉特效	Use when designing or implementing product-grade web motion like Stripe, Linear, Apple, and Vercel		02_震撼视觉特效/mengto--animation-systems/SKILL.md
mengto--atmosphere-background	02_震撼视觉特效	"Create a dark atmospheric background with drifting vertical light folds, screen-blended glow, and a		02_震撼视觉特效/mengto--atmosphere-background/SKILL.md
mengto--background-grid-webgl	02_震撼视觉特效	"Create a perspective WebGL background grid with fading lines, subtle particle haze, slow forward		02_震撼视觉特效/mengto--background-grid-webgl/SKILL.md
mengto--beam-glow-states	02_震撼视觉特效	Create React loading, processing, selected, current, focus, and pressed states with the border-beam	agents	02_震撼视觉特效/mengto--beam-glow-states/SKILL.md
mengto--beautiful-shadows	02_震撼视觉特效	Apply exact Tailwind arbitrary shadow utilities for polished, layered neutral elevation. Use when		02_震撼视觉特效/mengto--beautiful-shadows/SKILL.md
mengto--bright-green-tech-system-webgl	02_震撼视觉特效	"Create a bright-green technical design system with structured split layouts, hard-framed dark		02_震撼视觉特效/mengto--bright-green-tech-system-webgl/SKILL.md
mengto--build-interactive-particle-trail	02_震撼视觉特效	Build a cursor or touch particle interaction that emits by distance along the traveled segment into a	agents	02_震撼视觉特效/mengto--build-interactive-particle-trail/SKILL.md
mengto--build-threejs-scroll-worlds	02_震撼视觉特效	Build rich, scroll-controlled real-time Three.js experiences as one persistent 3D world whose camera	references/agents	02_震撼视觉特效/mengto--build-threejs-scroll-worlds/SKILL.md
mengto--build-wireframe-scan-reveal	02_震撼视觉特效	Reveal Three.js geometry with an expanding world-space scan whose wire cage leads the solid surface	agents	02_震撼视觉特效/mengto--build-wireframe-scan-reveal/SKILL.md
mengto--cinematic-gsap-lenis-motion-system	02_震撼视觉特效	Create premium cinematic web motion systems with GSAP, ScrollTrigger, and Lenis. Use for luxury		02_震撼视觉特效/mengto--cinematic-gsap-lenis-motion-system/SKILL.md
mengto--cinematic-scroll-storytelling	02_震撼视觉特效	Create cinematic scroll-driven landing pages with Lenis smooth scrolling, GSAP ScrollTrigger		02_震撼视觉特效/mengto--cinematic-scroll-storytelling/SKILL.md
mengto--cobejs	02_震撼视觉特效	Use when adding a lightweight interactive globe with cobe (canvas setup, markers, interaction		02_震撼视觉特效/mengto--cobejs/SKILL.md
mengto--container-lines	02_震撼视觉特效	Add vertical container-size guide lines with mini corner squares for precise, structured web layouts		02_震撼视觉特效/mengto--container-lines/SKILL.md
mengto--corner-diagonals	02_震撼视觉特效	Apply diagonal-cut corners and chamfered edges to buttons, cards, panels, and container shells. Use		02_震撼视觉特效/mengto--corner-diagonals/SKILL.md
mengto--corner-lasers	02_震撼视觉特效	"Create a corner-anchored laser composition with thin beams, a bright emitter node, bloom, and		02_震撼视觉特效/mengto--corner-lasers/SKILL.md
mengto--css-alpha-masking	02_震撼视觉特效	Apply CSS alpha masking with linear-gradient for horizontal or vertical edge fades (mask-image and		02_震撼视觉特效/mengto--css-alpha-masking/SKILL.md
mengto--css-border-gradient	02_震撼视觉特效	Apply subtle gradient-border treatments for premium web surfaces. Use when cards, pricing panels, nav		02_震撼视觉特效/mengto--css-border-gradient/SKILL.md
mengto--dither-background	02_震撼视觉特效	Create a dark monochrome procedural background with enlarged square pixels and visible Bayer-style		02_震撼视觉特效/mengto--dither-background/SKILL.md
mengto--dither-laser-dark-mode	02_震撼视觉特效	"Create a dark premium design system that combines near-black surfaces, subtle ordered-dither texture		02_震撼视觉特效/mengto--dither-laser-dark-mode/SKILL.md
mengto--falling-leaves	02_震撼视觉特效	Build falling leaves that read as leaves, with each one tumbling on its own axis so it presents a face	agents	02_震撼视觉特效/mengto--falling-leaves/SKILL.md
mengto--framed-grid-layout	02_震撼视觉特效	Create minimal framed grid layouts with thin visible boundary lines, L-shaped corner brackets, subtle		02_震撼视觉特效/mengto--framed-grid-layout/SKILL.md
mengto--globe-gl	02_震撼视觉特效	Use when implementing globe.gl (Globe.GL) for 3D globe data visualization with WebGL/ThreeJS, including		02_震撼视觉特效/mengto--globe-gl/SKILL.md
mengto--globe-particles	02_震撼视觉特效	Create a globe-like 3D particle visualization with a dense luminous spherical core and thinner orbital		02_震撼视觉特效/mengto--globe-particles/SKILL.md
mengto--gooey-blob-system	02_震撼视觉特效	"Create a gooey blob system using SVG filters where multiple shapes merge into a single fluid form. Use		02_震撼视觉特效/mengto--gooey-blob-system/SKILL.md
mengto--gsap	02_震撼视觉特效	Use when you need to add or debug professional web animations with GSAP (timelines, ScrollTrigger		02_震撼视觉特效/mengto--gsap/SKILL.md
mengto--gsap-scrolltrigger-storytelling	02_震撼视觉特效	"Build cinematic sticky product storytelling with GSAP ScrollTrigger, progressive UI reveals		02_震撼视觉特效/mengto--gsap-scrolltrigger-storytelling/SKILL.md
mengto--liquid-metal-border	02_震撼视觉特效	Add and tune animated liquid-metal WebGL borders with the React `metal-fx` package. Use when buttons	agents	02_震撼视觉特效/mengto--liquid-metal-border/SKILL.md
mengto--marquee-loop	02_震撼视觉特效	"Apply seamless infinite marquee loops using duplicated items."		02_震撼视觉特效/mengto--marquee-loop/SKILL.md
mengto--masked-reveal	02_震撼视觉特效	Create masked staggered word reveals on scroll with GSAP ScrollTrigger. Use when headings, hero copy		02_震撼视觉特效/mengto--masked-reveal/SKILL.md
mengto--matterjs	02_震撼视觉特效	Use when implementing 2D physics interactions with Matter.js, including Engine/World setup		02_震撼视觉特效/mengto--matterjs/SKILL.md
mengto--mesh-gradient-dark-blue-clean	02_震撼视觉特效	Create a futuristic, premium, clean dark-blue mesh-gradient design system across background rendering		02_震撼视觉特效/mengto--mesh-gradient-dark-blue-clean/SKILL.md
mengto--nested-container-frames	02_震撼视觉特效	"Create a container-in-container layout system using nested frames. Use an outer centered container		02_震撼视觉特效/mengto--nested-container-frames/SKILL.md
mengto--number-details	02_震撼视觉特效	"Add decorative 01, 02, 03 numeric detail markers."		02_震撼视觉特效/mengto--number-details/SKILL.md
mengto--optimize-web-animations	02_震撼视觉特效	Profile, audit, and optimize frontend page performance with emphasis on animation work, memory-leak	references/agents	02_震撼视觉特效/mengto--optimize-web-animations/SKILL.md
mengto--pointer-trail-emitter	02_震撼视觉特效	Build a cursor trail whose spacing stays constant at any hand speed, by emitting motes per unit of	agents	02_震撼视觉特效/mengto--pointer-trail-emitter/SKILL.md
mengto--progressive-blur	02_震撼视觉特效	Create a layered CSS progressive blur (top or bottom) using multiple backdrop-filter masks for depth		02_震撼视觉特效/mengto--progressive-blur/SKILL.md
mengto--reveal-hover-effect	02_震撼视觉特效	Build cursor-following spotlight reveals that expose a second aligned image through a soft radial mask	agents	02_震撼视觉特效/mengto--reveal-hover-effect/SKILL.md
mengto--scroll-progress-timeline	02_震撼视觉特效	Turn any ordered process into a data-driven vertical or horizontal scroll story with a base line	agents	02_震撼视觉特效/mengto--scroll-progress-timeline/SKILL.md
mengto--scroll-scrubbed-visual-sequence	02_震撼视觉特效	Build reversible scroll-controlled visual transformations with a pinned or sticky stage, normalized	agents	02_震撼视觉特效/mengto--scroll-scrubbed-visual-sequence/SKILL.md
mengto--scroll-scrubbed-word-reveal	02_震撼视觉特效	Reveal marked-up text word by word as scroll progress advances, while preserving semantic inline links	agents	02_震撼视觉特效/mengto--scroll-scrubbed-word-reveal/SKILL.md
mengto--scroll-world-storytelling	02_震撼视觉特效	"Turn an article, case study, brand narrative, product journey, or long-form story into a cinematic	agents	02_震撼视觉特效/mengto--scroll-world-storytelling/SKILL.md
mengto--shaders-cursor-ripples	02_震撼视觉特效	Add cursor-following fluid WebGPU distortion over an existing image with the Shaders library's	assets/agents	02_震撼视觉特效/mengto--shaders-cursor-ripples/SKILL.md
mengto--staggered-word-reveal	02_震撼视觉特效	Create subtle editorial word-by-word text reveal animations where each word fades and rises into place		02_震撼视觉特效/mengto--staggered-word-reveal/SKILL.md
mengto--thinking-orbs	02_震撼视觉特效	Add accessible animated AI loading and agent-status indicators with the React thinking-orbs library	agents	02_震撼视觉特效/mengto--thinking-orbs/SKILL.md
mengto--threejs	02_震撼视觉特效	Use when building or debugging interactive 3D scenes on the web with Three.js (scene/camera/renderer		02_震撼视觉特效/mengto--threejs/SKILL.md
mengto--threejs-landscape	02_震撼视觉特效	Build a live Three.js landscape that stays quiet behind a subject — a noise heightfield on a polar grid	agents	02_震撼视觉特效/mengto--threejs-landscape/SKILL.md
mengto--threejs-towers	02_震撼视觉特效	Generate architecture procedurally in Three.js and film it assembling — a small geometry vocabulary	agents	02_震撼视觉特效/mengto--threejs-towers/SKILL.md
mengto--threejs-weather	02_震撼视觉特效	Put weather into a Three.js scene that reads as weather — rain anchored inside the frustum, a storm	agents	02_震撼视觉特效/mengto--threejs-weather/SKILL.md
mengto--unicorn-studio	02_震撼视觉特效	Use when embedding and customizing Unicorn Studio interactive animations on the web (embed, responsive		02_震撼视觉特效/mengto--unicorn-studio/SKILL.md
mengto--vantajs	02_震撼视觉特效	Use when adding animated WebGL background effects with Vanta.js (setup, parameters, resizing		02_震撼视觉特效/mengto--vantajs/SKILL.md
mengto--webgl-3d-object	02_震撼视觉特效	Create a real 3D WebGL object with geometric mesh depth, physically based material, directional and		02_震撼视觉特效/mengto--webgl-3d-object/SKILL.md
mengto--webgl-laser	02_震撼视觉特效	Create a fixed full-screen WebGL laser background effect with a thin white-hot vertical core		02_震撼视觉特效/mengto--webgl-laser/SKILL.md
oc--3d-web-experience	02_震撼视觉特效	Expert in building 3D experiences for the web - Three.js, React Three Fiber, Spline, WebGL, and		02_震撼视觉特效/oc--3d-web-experience/SKILL.md
oc--gsap-core	02_震撼视觉特效	Official GSAP skill for the core API — gsap.to(), from(), fromTo(), easing, duration, stagger		02_震撼视觉特效/oc--gsap-core/SKILL.md
oc--gsap-frameworks	02_震撼视觉特效	Official GSAP skill for Vue, Svelte, and other non-React frameworks — lifecycle, scoping selectors		02_震撼视觉特效/oc--gsap-frameworks/SKILL.md
oc--gsap-performance	02_震撼视觉特效	Official GSAP skill for performance — prefer transforms, avoid layout thrashing, will-change, batching		02_震撼视觉特效/oc--gsap-performance/SKILL.md
oc--gsap-plugins	02_震撼视觉特效	Official GSAP skill for GSAP plugins — registration, ScrollToPlugin, ScrollSmoother, Flip, Draggable		02_震撼视觉特效/oc--gsap-plugins/SKILL.md
oc--gsap-react	02_震撼视觉特效	Official GSAP skill for React — useGSAP hook, refs, gsap.context(), cleanup. Use when the user wants		02_震撼视觉特效/oc--gsap-react/SKILL.md
oc--gsap-scrolltrigger	02_震撼视觉特效	Official GSAP skill for ScrollTrigger — scroll-linked animations, pinning, scrub, triggers. Use when		02_震撼视觉特效/oc--gsap-scrolltrigger/SKILL.md
oc--gsap-timeline	02_震撼视觉特效	Official GSAP skill for timelines — gsap.timeline(), position parameter, nesting, playback. Use when		02_震撼视觉特效/oc--gsap-timeline/SKILL.md
oc--gsap-utils	02_震撼视觉特效	Official GSAP skill for gsap.utils — clamp, mapRange, normalize, interpolate, random, snap, toArray		02_震撼视觉特效/oc--gsap-utils/SKILL.md
oc--scroll-experience	02_震撼视觉特效	Expert in building immersive scroll-driven experiences - parallax storytelling, scroll animations		02_震撼视觉特效/oc--scroll-experience/SKILL.md
oc--vue-bits	02_震撼视觉特效	Vue Bits 动画组件库使用指南 — Vue 3 + TypeScript + Tailwind 的高端动画 UI 组件库（React Bits 的 Vue 移植版）。当用户需要为 Vue		02_震撼视觉特效/oc--vue-bits/SKILL.md
devgtm--frontend-design	03_落地页与视觉风格	Guidance for distinctive, intentional visual design when building new UI or reshaping an existing one		03_落地页与视觉风格/devgtm--frontend-design/SKILL.md
devgtm--site-architecture	03_落地页与视觉风格	When the user wants to plan, map, or restructure their website's page hierarchy, navigation, URL	references	03_落地页与视觉风格/devgtm--site-architecture/SKILL.md
elayadesign--landing-page-design	03_落地页与视觉风格	"Complete system for building high converting landing pages: intake questions, page structure, layout		03_落地页与视觉风格/elayadesign--landing-page-design/SKILL.md
gardenli--beautiful-article	03_落地页与视觉风格	"把用户提供的素材（网页 URL / PDF / DOCX / Markdown / 纯文本 / 截图 / 粘贴材料）编辑、设计成一篇美丽的、可离线打开和分享的**单文件 HTML 网页文章**。基于	scripts/references/assets	03_落地页与视觉风格/gardenli--beautiful-article/SKILL.md
gardenli--web-design-engineer	03_落地页与视觉风格	"Build or redesign polished browser-rendered visual artifacts with HTML/CSS/JavaScript/React: pages	references/agents	03_落地页与视觉风格/gardenli--web-design-engineer/SKILL.md
jezweb--landing-page	03_落地页与视觉风格	"Generate a complete, deployable landing page from a brief. Produces a single self-contained HTML file		03_落地页与视觉风格/jezweb--landing-page/SKILL.md
jezweb--product-showcase	03_落地页与视觉风格	"Generate a comprehensive marketing website for a web app — multi-page with real screenshots, animated		03_落地页与视觉风格/jezweb--product-showcase/SKILL.md
jezweb--tailwind-theme-builder	03_落地页与视觉风格	"Set up Tailwind v4 + shadcn/ui themed UI with dark mode. Install deps, configure CSS variables via	references/assets	03_落地页与视觉风格/jezweb--tailwind-theme-builder/SKILL.md
mengto--agency-grid-layout-minimal	03_落地页与视觉风格	"Create a minimal agency design system with a disciplined editorial grid, oversized typography, quiet		03_落地页与视觉风格/mengto--agency-grid-layout-minimal/SKILL.md
mengto--blue-cloudy-clean-modern	03_落地页与视觉风格	"Create a clean modern design system with a luminous blue sky atmosphere, soft drifting cloud light		03_落地页与视觉风格/mengto--blue-cloudy-clean-modern/SKILL.md
mengto--blue-laser-clean-glass-layout	03_落地页与视觉风格	"Create a clean dark glass layout system with a thin blue laser atmosphere, frosted premium shells, and		03_落地页与视觉风格/mengto--blue-laser-clean-glass-layout/SKILL.md
mengto--book-serif-index	03_落地页与视觉风格	"Create an archival book-reader design system with serif-led pages, mono index navigation, aged paper		03_落地页与视觉风格/mengto--book-serif-index/SKILL.md
mengto--build-awwwards-quality-sites	03_落地页与视觉风格	Art-direct and implement distinctive, motion-rich marketing, editorial, portfolio, and landing websites	agents	03_落地页与视觉风格/mengto--build-awwwards-quality-sites/SKILL.md
mengto--clean-minimal-beige-light-mode	03_落地页与视觉风格	"Create a clean minimal beige light-mode design system with warm neutral shells, quiet process grids		03_落地页与视觉风格/mengto--clean-minimal-beige-light-mode/SKILL.md
mengto--dark-blue-contrasting-clean	03_落地页与视觉风格	"Create a dark-blue clean design system with strong contrast, cobalt gradient feature blocks, crisp		03_落地页与视觉风格/mengto--dark-blue-contrasting-clean/SKILL.md
mengto--dark-glass-clean-layout	03_落地页与视觉风格	"Create a dark glass layout system with frosted premium shells, clean multi-column workspace structure		03_落地页与视觉风格/mengto--dark-glass-clean-layout/SKILL.md
mengto--documentary-brutalist-agency	03_落地页与视觉风格	Create or redesign creative agency, production studio, architecture, culture, and portfolio websites	agents	03_落地页与视觉风格/mengto--documentary-brutalist-agency/SKILL.md
mengto--editorial-portfolio-chapters	03_落地页与视觉风格	Create or redesign creative-studio, agency, photographer, artist, and portfolio websites where project	assets/agents	03_落地页与视觉风格/mengto--editorial-portfolio-chapters/SKILL.md
mengto--editorial-service-booking	03_落地页与视觉风格	Create or redesign appointment-based service websites for salons, barbers, spas, wellness studios	agents	03_落地页与视觉风格/mengto--editorial-service-booking/SKILL.md
mengto--editorial-tech	03_落地页与视觉风格	"Blend editorial magazine composition with precision product-tech detailing using asymmetrical grids		03_落地页与视觉风格/mengto--editorial-tech/SKILL.md
mengto--framed-tech-dark-border-gradient	03_落地页与视觉风格	"Create a framed dark technical design system with border-gradient shells, asymmetrical grid panels		03_落地页与视觉风格/mengto--framed-tech-dark-border-gradient/SKILL.md
mengto--funky-purple-container-tech	03_落地页与视觉风格	"Create a dark container-led technical design system with fuchsia-purple accents, layered rounded		03_落地页与视觉风格/mengto--funky-purple-container-tech/SKILL.md
mengto--glass-dark-mode-clock	03_落地页与视觉风格	"Create a dark glass design system with frosted shells, soft beam grids, circular clock-like		03_落地页与视觉风格/mengto--glass-dark-mode-clock/SKILL.md
mengto--glass-dark-ui	03_落地页与视觉风格	Build dark-mode glassmorphism interfaces with readable contrast, frosted surfaces, and gradient borders		03_落地页与视觉风格/mengto--glass-dark-ui/SKILL.md
mengto--high-contrast-skeuomorphic-clean	03_落地页与视觉风格	"Create a high-contrast clean skeuomorphic design system with molded dark surfaces, crisp light		03_落地页与视觉风格/mengto--high-contrast-skeuomorphic-clean/SKILL.md
mengto--image-first-grid-layout	03_落地页与视觉风格	"Create an image-led grid design system with full-bleed photography, structural guide lines, anchored		03_落地页与视觉风格/mengto--image-first-grid-layout/SKILL.md
mengto--landing-page	03_落地页与视觉风格	Use when designing or rewriting a high-converting landing page (single-offer page) for		03_落地页与视觉风格/mengto--landing-page/SKILL.md
mengto--light-mode-paper-technical	03_落地页与视觉风格	"Create a light-mode technical design system with warm paper surfaces, dark outer framing, subtle		03_落地页与视觉风格/mengto--light-mode-paper-technical/SKILL.md
mengto--nested-container-clean-agency	03_落地页与视觉风格	"Create a clean agency design system built from nested containers, with an outer editorial shell, inset		03_落地页与视觉风格/mengto--nested-container-clean-agency/SKILL.md
